USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
720533,99999,201201010004,290,19,33,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,0,******,30.15,******,***,***,0.2,*****,*****,*****,**
720533,99999,201201010024,280,14,22,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,0,******,30.16,******,***,***,0.2,*****,*****,*****,**
720533,99999,201201010044,250,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,-2,******,30.17,******,***,***,*****,*****,*****,*****,**
720533,99999,201202010104,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,-4,******,30.18,******,***,***,0.2,*****,*****,*****,**
720533,99999,201202010124,60,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,0,******,30.2,******,***,***,*****,*****,*****,*****,**
720533,99999,201202010144,110,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,1,******,30.23,******,***,***,0.2,*****,*****,*****,**
720533,99999,201203010204,80,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,5,******,30.24,******,***,***,*****,*****,*****,*****,**
720533,99999,201203010224,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,5,******,30.26,******,***,***,0.2,*****,*****,*****,**
720533,99999,201203010244,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,9,******,30.27,******,***,***,0.2,*****,*****,*****,**
720533,99999,201204010304,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,9,******,30.28,******,***,***,0.2,*****,*****,*****,**
720533,99999,201204010324,130,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,5,******,30.28,******,***,***,0.2,*****,*****,*****,**
720533,99999,201204010344,140,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,7,******,30.29,******,***,***,0.2,*****,*****,*****,**
720533,99999,201205010404,150,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,9,******,30.28,******,***,***,0.2,*****,*****,*****,**
720533,99999,201205010424,230,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,7,******,30.28,******,***,***,0.2,*****,*****,*****,**
720533,99999,201205010444,140,10,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,9,******,30.28,******,***,***,0.2,*****,*****,*****,**
720533,99999,201206010504,170,9,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,9,******,30.29,******,***,***,0.2,*****,*****,*****,**
720533,99999,201206010524,150,5,17,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,9,******,30.28,******,***,***,0.2,*****,*****,*****,**
720533,99999,201206010544,120,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,9,******,30.28,******,***,***,0.2,*****,*****,*****,**
720533,99999,201207010604,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,9,******,30.28,******,***,***,0.2,*****,*****,*****,**
720533,99999,201207010624,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,9,******,30.28,******,***,***,0.2,*****,*****,*****,**
720533,99999,201207010644,60,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,9,******,30.28,******,***,***,0.2,*****,*****,*****,**
720533,99999,201208010704,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,9,******,30.28,******,***,***,0.2,*****,*****,*****,**
720533,99999,201208010724,20,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,10,******,30.27,******,***,***,0.2,*****,*****,*****,**
720533,99999,201208010744,280,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,10,******,30.27,******,***,***,0.2,*****,*****,*****,**
720533,99999,201209010804,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,10,******,30.26,******,***,***,0.2,*****,*****,*****,**
720533,99999,201209010824,320,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,10,******,30.27,******,***,***,0.2,*****,*****,*****,**
720533,99999,201209010844,290,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,10,******,30.26,******,***,***,0.2,*****,*****,*****,**
720533,99999,201210010904,350,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,10,******,30.26,******,***,***,0.2,*****,*****,*****,**
720533,99999,201210010924,310,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,12,******,30.28,******,***,***,0.2,*****,*****,*****,**
720533,99999,201210010944,290,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,12,******,30.29,******,***,***,0.2,*****,*****,*****,**
720533,99999,201211011004,340,9,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,12,******,30.3,******,***,***,0.2,*****,*****,*****,**
720533,99999,201211011024,330,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,12,******,30.31,******,***,***,0.2,*****,*****,*****,**
720533,99999,201211011044,330,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,12,******,30.33,******,***,***,0.2,*****,*****,*****,**
720533,99999,201212011044,330,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,12,******,30.33,******,***,***,0.2,*****,*****,*****,**
720533,99999,201212011044,330,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,12,******,30.33,******,***,***,0.2,*****,*****,*****,**
720533,99999,201212011044,330,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,10,12,******,30.33,******,***,***,0.2,*****,*****,*****,**
